                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    201,                  1e-05,                0.52016,                      1,                0.99056,                0.00604,                0.00604,                0.00604
                    202,                0.00046,                0.52016,                      1,                0.98909,              0.0060202,              0.0060202,              0.0060202
                    203,                 0.0008,                0.51613,                      1,                0.99106,              0.0060004,              0.0060004,              0.0060004
                    204,                0.00036,                0.52016,                      1,                0.98965,              0.0059806,              0.0059806,              0.0059806
                    205,                0.00018,                0.52419,                      1,                0.98624,              0.0059608,              0.0059608,              0.0059608
                    206,                0.00011,                0.52419,                      1,                0.98471,               0.005941,               0.005941,               0.005941
                    207,                0.00011,                0.52419,                      1,                0.98284,              0.0059212,              0.0059212,              0.0059212
                    208,                  6e-05,                0.52419,                      1,                0.98135,              0.0059014,              0.0059014,              0.0059014
                    209,                  5e-05,                0.52419,                      1,                0.98028,              0.0058816,              0.0058816,              0.0058816
                    210,                  4e-05,                0.52419,                      1,                0.97988,              0.0058618,              0.0058618,              0.0058618
                    211,                  5e-05,                0.53226,                      1,                0.97986,               0.005842,               0.005842,               0.005842
                    212,                0.00011,                0.52016,                      1,                0.98031,              0.0058222,              0.0058222,              0.0058222
                    213,                  6e-05,                0.52016,                      1,                0.97872,              0.0058024,              0.0058024,              0.0058024
                    214,                0.00021,                0.49597,                      1,                0.98677,              0.0057826,              0.0057826,              0.0057826
                    215,                  6e-05,                0.49597,                      1,                0.99299,              0.0057628,              0.0057628,              0.0057628
                    216,                  5e-05,                0.49597,                      1,                 0.9939,               0.005743,               0.005743,               0.005743
                    217,                  8e-05,                0.50806,                      1,                0.98906,              0.0057232,              0.0057232,              0.0057232
                    218,                  5e-05,                0.51613,                      1,                0.98343,              0.0057034,              0.0057034,              0.0057034
                    219,                  4e-05,                0.52419,                      1,                0.98083,              0.0056836,              0.0056836,              0.0056836
                    220,                  3e-05,                0.52016,                      1,                0.97912,              0.0056638,              0.0056638,              0.0056638
                    221,                  3e-05,                0.51613,                      1,                0.97828,               0.005644,               0.005644,               0.005644
                    222,                  7e-05,                0.51613,                      1,                 0.9779,              0.0056242,              0.0056242,              0.0056242
